Freq,Real_S11,Imag_S11,Real_S21,Imag_S21,Room
2400000000.0,0.1619881838560104,0.05292985588312149,0.0001538301439723,-0.006087251007556915,1.0
2400166666.666667,0.1618853211402893,0.05143287405371666,2.75442343991017e-05,-0.006001635920256376,1.0
2400333333.333334,0.1616616547107697,0.04937488958239555,-0.0001728919887682423,-0.006232503801584244,1.0
2400500000.0,0.1617828905582428,0.04725494980812073,-0.0003647258272394538,-0.006219241768121719,1.0
2400666666.666667,0.1614385098218918,0.04542089253664017,-0.0006421835860237479,-0.006313094403594732,1.0
2400833333.333334,0.1616556942462921,0.0431363508105278,-0.0008289958350360394,-0.006350590847432613,1.0
2401000000.0,0.1617774963378906,0.04111722856760025,-0.001055198605172336,-0.006434290669858456,1.0
2401166666.666667,0.1618707031011581,0.03891739994287491,-0.001214544172398746,-0.00652177631855011,1.0
2401333333.333334,0.1619195938110352,0.0367579460144043,-0.001528665074147284,-0.006563218310475349,1.0
2401500000.0,0.1622759997844696,0.03466029465198517,-0.001695882994681597,-0.006394917145371437,1.0
2401666666.666667,0.162583515048027,0.03259081766009331,-0.001956751802936196,-0.006641738582402468,1.0
2401833333.333334,0.1627233028411865,0.03037331625819206,-0.002342198742553592,-0.006374117452651262,1.0
2402000000.0,0.1631119251251221,0.02844478189945221,-0.002671145601198077,-0.006442880723625422,1.0
2402166666.666667,0.1635806262493134,0.0263159666210413,-0.002852813806384802,-0.006426290608942509,1.0
2402333333.333334,0.1640900820493698,0.02442539855837822,-0.003253348171710968,-0.006247002631425858,1.0
2402500000.0,0.1646629422903061,0.022524144500494,-0.003541574813425541,-0.006226330995559692,1.0
2402666666.666667,0.1652711778879166,0.02085059322416782,-0.003960634581744671,-0.00607955502346158,1.0
2402833333.333334,0.1658898591995239,0.01898457296192646,-0.004089836496859789,-0.006043381057679653,1.0
2403000000.0,0.1666637361049652,0.01714852638542652,-0.004489737562835217,-0.005842247977852821,1.0
2403166666.666667,0.1674858927726746,0.01553426124155521,-0.004807958379387856,-0.005810196977108717,1.0
2403333333.333334,0.1682374626398087,0.0140975546091795,-0.005090074148029089,-0.005444421898573637,1.0
2403500000.0,0.1689947843551636,0.01266130711883307,-0.005524489562958479,-0.005352895241230726,1.0
2403666666.666667,0.1699700504541397,0.0110986577346921,-0.005714539904147387,-0.005094595719128847,1.0
2403833333.333334,0.1707425564527512,0.009918343275785446,-0.005898389965295792,-0.004884648136794567,1.0
2404000000.0,0.1716186106204987,0.00877203419804573,-0.00603447575122118,-0.004776762332767248,1.0
2404166666.666667,0.1725920885801315,0.007427914068102837,-0.006495881360024214,-0.004150961991399527,1.0
2404333333.333334,0.1733356267213821,0.006697280798107386,-0.00676399702206254,-0.00393487187102437,1.0
2404500000.0,0.1740961968898773,0.005553184542804956,-0.006707547698169947,-0.003643057309091091,1.0
2404666666.666667,0.1749979257583618,0.004740486387163401,-0.007056973408907652,-0.003351792460307479,1.0
2404833333.333334,0.1757219135761261,0.004094363190233707,-0.006949964910745621,-0.002983317943289876,1.0
2405000000.0,0.1765179336071014,0.003380699316039681,-0.007287102285772562,-0.00279922247864306,1.0
2405166666.666667,0.1772545725107193,0.002807109616696835,-0.007550976239144802,-0.002379658631980419,1.0
2405333333.333334,0.1780342012643814,0.002116616349667311,-0.007487074006348848,-0.00190250005107373,1.0
2405500000.0,0.1786564737558365,0.001843443838879466,-0.007561991456896067,-0.00139621424023062,1.0
2405666666.666667,0.1791453212499619,0.001403254107572138,-0.007662903517484665,-0.001168920192867518,1.0
2405833333.333334,0.179530069231987,0.001328318496234715,-0.007874895818531513,-0.0008788041886873543,1.0
2406000000.0,0.180166557431221,0.0009350175387226045,-0.007752479054033756,-0.0003937767760362476,1.0
2406166666.666667,0.1802986413240433,0.0008654622361063957,-0.00744777824729681,5.734038495575078e-05,1.0
2406333333.333334,0.1808091402053833,0.0006505984929390252,-0.007721767760813236,0.0002593332319520414,1.0
2406500000.0,0.1809468269348145,0.0003896672278642654,-0.007469007279723883,0.0007051776628941298,1.0
2406666666.666667,0.1808392703533173,0.0002390961453784257,-0.007284019142389298,0.0009709509322419763,1.0
2406833333.333334,0.1810868382453919,5.15180108777713e-05,-0.007390087004750967,0.001212218194268644,1.0
2407000000.0,0.1810175478458405,-0.0002551785728428513,-0.007178554311394692,0.001533714937977493,1.0
2407166666.666667,0.1811108142137528,-0.0003896329726558179,-0.007045020814985037,0.001769981812685728,1.0
